Index,Physical Manufacturer,License PM
48,"SYNTHES PRODUKTIONS GMBH, DORNACHERSTRASSE 20, 4710 BALSTHAL, SWITZERLAND","1051 Synthes Avenue, Monument, CO 80132, USA | 35 Airport Road, Horseheads, NY 14845, USA | 1303 Goshen Parkway, West Chester, PA 19380, USA | Im Bifang 6,4614 Hägendorf, Switzerland | Via Cavazz 5, 6805 Mezzovico, Switzerland | Muracherstrasse 3,2544 Bettlach, Switzerland | Dornacherstrasse 20, 4710 Balsthal, Switzerland | Kanalstrasse West 30, 3942 Raron, Switzerland | Solothurnstrasse 186, 2540 Grenchen, Switzerland | Im Kirchenhürstle 4-6, 79224 Umkirch b.Freiburg, Germany | Karolingerstrasse 16, 5020 Salzburg, Austria | Eimattstrasse 3,4436 Oberdorf, Switzerland | Bohnackerweg 5, 2545 Selzach, Switzerland"
49,INFORMATION NOT AVAILABLE,"1051 Synthes Avenue, Monument, CO 80132, USA | 35 Airport Road, Horseheads, NY 14845, USA | 1303 Goshen Parkway, West Chester, PA 19380, USA | Im Bifang 6,4614 Hägendorf, Switzerland | Via Cavazz 5, 6805 Mezzovico, Switzerland | Muracherstrasse 3,2544 Bettlach, Switzerland | Dornacherstrasse 20, 4710 Balsthal, Switzerland | Kanalstrasse West 30, 3942 Raron, Switzerland | Solothurnstrasse 186, 2540 Grenchen, Switzerland | Im Kirchenhürstle 4-6, 79224 Umkirch b.Freiburg, Germany | Karolingerstrasse 16, 5020 Salzburg, Austria | Eimattstrasse 3,4436 Oberdorf, Switzerland | Bohnackerweg 5, 2545 Selzach, Switzerland"
50,"SYNTHES GMBH, BOHNACKERWEG 5, 2545 SELZACH, SWITZERLAND","Eimattstrasse 3,4436 Oberdorf, Switzerland | Bohnackerweg 5, 2545 Selzach, Switzerland | Hauptstrasse 24, 4437 Waldenburg, Switzerland | Luzernstrasse 19-21,4528 Zuchwil, Switzerland | Solothurnstrasse 186, 2540 Grenchen, Switzerland | Muracherstrasse 3,2544 Bettlach, Switzerland | Im Bifang 6,4614 Hägendorf, Switzerland | Zona Industriale 4,6805 Mezzovico, Switzerland | Stabile Morina, 6805 Mezzovico, Switzerland | Kanalstrasse West 30, 3942 Raron, Switzerland | Dornacherstrasse 20, 4710 Balsthal, Switzerland | Im Kirchenhürstle 4-6, 79224 Umkirch b.Freiburg, Germany | Karolingerstrasse 16, 5020 Salzburg, Austria | 108 Willowbrook Lane, West Chester, PA 19382, USA | 1302 Wrights Lane East, West Chester, PA 19380, USA | 1303 Goshen Parkway, West Chester, PA 19380, USA | 1301 Goshen Parkway, West Chester, PA 19380, USA | 1230 Wilson Drive, West Chester, PA 19380, USA | 1690 Russell Road, Paoli, PA 19301, USA | 1051 Synthes Avenue, Monument, CO 80132, USA | 35 Airport Road, Horseheads, NY 14845, USA"
51,INFORMATION NOT AVAILABLE,"Eimattstrasse 3,4436 Oberdorf, Switzerland | Bohnackerweg 5, 2545 Selzach, Switzerland | Hauptstrasse 24, 4437 Waldenburg, Switzerland | Luzernstrasse 19-21,4528 Zuchwil, Switzerland | Solothurnstrasse 186, 2540 Grenchen, Switzerland | Muracherstrasse 3,2544 Bettlach, Switzerland | Im Bifang 6,4614 Hägendorf, Switzerland | Zona Industriale 4,6805 Mezzovico, Switzerland | Stabile Morina, 6805 Mezzovico, Switzerland | Kanalstrasse West 30, 3942 Raron, Switzerland | Dornacherstrasse 20, 4710 Balsthal, Switzerland | Im Kirchenhürstle 4-6, 79224 Umkirch b.Freiburg, Germany | Karolingerstrasse 16, 5020 Salzburg, Austria | 108 Willowbrook Lane, West Chester, PA 19382, USA | 1302 Wrights Lane East, West Chester, PA 19380, USA | 1303 Goshen Parkway, West Chester, PA 19380, USA | 1301 Goshen Parkway, West Chester, PA 19380, USA | 1230 Wilson Drive, West Chester, PA 19380, USA | 1690 Russell Road, Paoli, PA 19301, USA | 1051 Synthes Avenue, Monument, CO 80132, USA | 35 Airport Road, Horseheads, NY 14845, USA"
52,"SYNTHES PRODUKTIONS GMBH, DORNACHERSTRASSE 20, 4710 BALSTHAL, SWITZERLAND","Eimattstrasse 3,4436 Oberdorf, Switzerland | Bohnackerweg 5, 2545 Selzach, Switzerland | Hauptstrasse 24, 4437 Waldenburg, Switzerland | Luzernstrasse 19-21,4528 Zuchwil, Switzerland | Solothurnstrasse 186, 2540 Grenchen, Switzerland | Muracherstrasse 3,2544 Bettlach, Switzerland | Im Bifang 6,4614 Hägendorf, Switzerland | Zona Industriale 4,6805 Mezzovico, Switzerland | Stabile Morina, 6805 Mezzovico, Switzerland | Kanalstrasse West 30, 3942 Raron, Switzerland | Dornacherstrasse 20, 4710 Balsthal, Switzerland | Im Kirchenhürstle 4-6, 79224 Umkirch b.Freiburg, Germany | Karolingerstrasse 16, 5020 Salzburg, Austria | 108 Willowbrook Lane, West Chester, PA 19382, USA | 1302 Wrights Lane East, West Chester, PA 19380, USA | 1303 Goshen Parkway, West Chester, PA 19380, USA | 1301 Goshen Parkway, West Chester, PA 19380, USA | 1230 Wilson Drive, West Chester, PA 19380, USA | 1690 Russell Road, Paoli, PA 19301, USA | 1051 Synthes Avenue, Monument, CO 80132, USA | 35 Airport Road, Horseheads, NY 14845, USA"
53,"SYNTHES USA, LLC, 35 AIRPORT RD., HORSEHEADS, NY 14845, USA","Eimattstrasse 3,4436 Oberdorf, Switzerland | Bohnackerweg 5, 2545 Selzach, Switzerland | Hauptstrasse 24, 4437 Waldenburg, Switzerland | Luzernstrasse 19-21,4528 Zuchwil, Switzerland | Solothurnstrasse 186, 2540 Grenchen, Switzerland | Muracherstrasse 3,2544 Bettlach, Switzerland | Im Bifang 6,4614 Hägendorf, Switzerland | Zona Industriale 4,6805 Mezzovico, Switzerland | Stabile Morina, 6805 Mezzovico, Switzerland | Kanalstrasse West 30, 3942 Raron, Switzerland | Dornacherstrasse 20, 4710 Balsthal, Switzerland | Im Kirchenhürstle 4-6, 79224 Umkirch b.Freiburg, Germany | Karolingerstrasse 16, 5020 Salzburg, Austria | 108 Willowbrook Lane, West Chester, PA 19382, USA | 1302 Wrights Lane East, West Chester, PA 19380, USA | 1303 Goshen Parkway, West Chester, PA 19380, USA | 1301 Goshen Parkway, West Chester, PA 19380, USA | 1230 Wilson Drive, West Chester, PA 19380, USA | 1690 Russell Road, Paoli, PA 19301, USA | 1051 Synthes Avenue, Monument, CO 80132, USA | 35 Airport Road, Horseheads, NY 14845, USA"
54,"SYNTHES PRODUKTIONS GMBH, IM BIFANG 6, 4614 HÄGENDORF, SWITZERLAND","Eimattstrasse 3,4436 Oberdorf, Switzerland | Bohnackerweg 5, 2545 Selzach, Switzerland | Hauptstrasse 24, 4437 Waldenburg, Switzerland | Luzernstrasse 19-21,4528 Zuchwil, Switzerland | Solothurnstrasse 186, 2540 Grenchen, Switzerland | Muracherstrasse 3,2544 Bettlach, Switzerland | Im Bifang 6,4614 Hägendorf, Switzerland | Zona Industriale 4,6805 Mezzovico, Switzerland | Stabile Morina, 6805 Mezzovico, Switzerland | Kanalstrasse West 30, 3942 Raron, Switzerland | Dornacherstrasse 20, 4710 Balsthal, Switzerland | Im Kirchenhürstle 4-6, 79224 Umkirch b.Freiburg, Germany | Karolingerstrasse 16, 5020 Salzburg, Austria | 108 Willowbrook Lane, West Chester, PA 19382, USA | 1302 Wrights Lane East, West Chester, PA 19380, USA | 1303 Goshen Parkway, West Chester, PA 19380, USA | 1301 Goshen Parkway, West Chester, PA 19380, USA | 1230 Wilson Drive, West Chester, PA 19380, USA | 1690 Russell Road, Paoli, PA 19301, USA | 1051 Synthes Avenue, Monument, CO 80132, USA | 35 Airport Road, Horseheads, NY 14845, USA"
55,"SYNTHES PRODUKTIONS GMBH, MURACHERSTRASSE 3, 2544 BETTLACH, SWITZERLAND","Eimattstrasse 3,4436 Oberdorf, Switzerland | Bohnackerweg 5, 2545 Selzach, Switzerland | Hauptstrasse 24, 4437 Waldenburg, Switzerland | Luzernstrasse 19-21,4528 Zuchwil, Switzerland | Solothurnstrasse 186, 2540 Grenchen, Switzerland | Muracherstrasse 3,2544 Bettlach, Switzerland | Im Bifang 6,4614 Hägendorf, Switzerland | Zona Industriale 4,6805 Mezzovico, Switzerland | Stabile Morina, 6805 Mezzovico, Switzerland | Kanalstrasse West 30, 3942 Raron, Switzerland | Dornacherstrasse 20, 4710 Balsthal, Switzerland | Im Kirchenhürstle 4-6, 79224 Umkirch b.Freiburg, Germany | Karolingerstrasse 16, 5020 Salzburg, Austria | 108 Willowbrook Lane, West Chester, PA 19382, USA | 1302 Wrights Lane East, West Chester, PA 19380, USA | 1303 Goshen Parkway, West Chester, PA 19380, USA | 1301 Goshen Parkway, West Chester, PA 19380, USA | 1230 Wilson Drive, West Chester, PA 19380, USA | 1690 Russell Road, Paoli, PA 19301, USA | 1051 Synthes Avenue, Monument, CO 80132, USA | 35 Airport Road, Horseheads, NY 14845, USA"
56,"SYNTHES USA LLC, 1051 SYNTHES AVENUE, MONUMENT, CO 80132, USA","Eimattstrasse 3,4436 Oberdorf, Switzerland | Bohnackerweg 5, 2545 Selzach, Switzerland | Hauptstrasse 24, 4437 Waldenburg, Switzerland | Luzernstrasse 19-21,4528 Zuchwil, Switzerland | Solothurnstrasse 186, 2540 Grenchen, Switzerland | Muracherstrasse 3,2544 Bettlach, Switzerland | Im Bifang 6,4614 Hägendorf, Switzerland | Zona Industriale 4,6805 Mezzovico, Switzerland | Stabile Morina, 6805 Mezzovico, Switzerland | Kanalstrasse West 30, 3942 Raron, Switzerland | Dornacherstrasse 20, 4710 Balsthal, Switzerland | Im Kirchenhürstle 4-6, 79224 Umkirch b.Freiburg, Germany | Karolingerstrasse 16, 5020 Salzburg, Austria | 108 Willowbrook Lane, West Chester, PA 19382, USA | 1302 Wrights Lane East, West Chester, PA 19380, USA | 1303 Goshen Parkway, West Chester, PA 19380, USA | 1301 Goshen Parkway, West Chester, PA 19380, USA | 1230 Wilson Drive, West Chester, PA 19380, USA | 1690 Russell Road, Paoli, PA 19301, USA | 1051 Synthes Avenue, Monument, CO 80132, USA | 35 Airport Road, Horseheads, NY 14845, USA"
57,"SYNTHES PRODUKTIONS GMBH, KANALSTRASSE WEST 30, 3942 RARON, SWITZERLAND","Eimattstrasse 3,4436 Oberdorf, Switzerland | Bohnackerweg 5, 2545 Selzach, Switzerland | Hauptstrasse 24, 4437 Waldenburg, Switzerland | Luzernstrasse 19-21,4528 Zuchwil, Switzerland | Solothurnstrasse 186, 2540 Grenchen, Switzerland | Muracherstrasse 3,2544 Bettlach, Switzerland | Im Bifang 6,4614 Hägendorf, Switzerland | Zona Industriale 4,6805 Mezzovico, Switzerland | Stabile Morina, 6805 Mezzovico, Switzerland | Kanalstrasse West 30, 3942 Raron, Switzerland | Dornacherstrasse 20, 4710 Balsthal, Switzerland | Im Kirchenhürstle 4-6, 79224 Umkirch b.Freiburg, Germany | Karolingerstrasse 16, 5020 Salzburg, Austria | 108 Willowbrook Lane, West Chester, PA 19382, USA | 1302 Wrights Lane East, West Chester, PA 19380, USA | 1303 Goshen Parkway, West Chester, PA 19380, USA | 1301 Goshen Parkway, West Chester, PA 19380, USA | 1230 Wilson Drive, West Chester, PA 19380, USA | 1690 Russell Road, Paoli, PA 19301, USA | 1051 Synthes Avenue, Monument, CO 80132, USA | 35 Airport Road, Horseheads, NY 14845, USA"
